No.,Date,Account,Note,Amount,Label,Time
212,23-04-2022,Pocket,dinner,40,0.0,0
213,24-04-2022,Pocket,ઝેરોક્ષ,3,0.0,0
214,24-04-2022,Pocket,dinner,75,0.0,0
215,25-04-2022,Pocket,dinner,40,0.0,0
216,26-04-2022,Pocket,dinner,40,0.0,0
217,27-04-2022,Pocket,dinner,45,0.0,0
218,28-04-2022,Pocket,dinner,40,0.0,0
219,29-04-2022,Pocket,dinner,40,0.0,0
220,30-04-2022,Pocket,dinner,50,1000.0,0
221,01-05-2022,Pocket,dinner,50,0.0,0
222,02-05-2022,Pocket,dinner,40,0.0,0
223,03-05-2022,Pocket,dinner,40,0.0,0
224,04-05-2022,Pocket,dinner,40,0.0,0
225,05-05-2022,Pocket,dinner,40,0.0,0
226,06-05-2022,Pocket,dinner,40,0.0,0
227,07-05-2022,Pocket,dinner,70,0.0,0
228,08-05-2022,Pocket,dinner,55,0.0,0
229,09-05-2022,Pocket,dinner,40,0.0,0
230,10-05-2022,Pocket,dinner,40,0.0,0
231,11-05-2022,Pocket,dinner,40,0.0,0
232,12-05-2022,Pocket,dinner,40,0.0,0
233,13-05-2022,Pocket,dinner,40,0.0,0
234,14-05-2022,Pocket,🚆 ticket,110,0.0,0
235,04-06-2022,Pocket,at home,320,10.0,0
236,30-06-2022,Pocket,home,0,1000.0,0
237,02-07-2022,Pocket,dinner,50,0.0,0
238,04-07-2022,Pocket,lunch,15,0.0,0
239,04-07-2022,Pocket,dinner,35,0.0,0
240,05-07-2022,Pocket,lunch,15,0.0,0
241,05-07-2022,Pocket,dinner,35,0.0,0
242,06-07-2022,Pocket,lunch,10,0.0,0
243,06-07-2022,Pocket,dinner,35,0.0,0
244,07-07-2022,Pocket,lunch,20,0.0,0
245,07-07-2022,Pocket,dinner,35,0.0,0
246,08-07-2022,Pocket,dinner,35,0.0,0
247,09-07-2022,Pocket,lunch,50,0.0,0
248,09-07-2022,Pocket,dinner,35,0.0,0
249,09-07-2022,Pocket,from 7373,10000,10000.0,0
250,10-07-2022,Pocket,dinner,60,0.0,0
251,11-07-2022,Pocket,dinner,35,0.0,0
252,12-07-2022,Pocket,lunch,20,0.0,0
253,12-07-2022,Pocket,dinner,35,0.0,0
254,13-07-2022,Pocket,dinner,35,0.0,0
255,14-07-2022,Pocket,lunch,15,0.0,0
256,14-07-2022,Pocket,dinner,35,0.0,0
257,15-07-2022,Pocket,dinner,35,0.0,0
258,16-07-2022,Pocket,dinner,35,0.0,0
259,17-07-2022,Pocket,dinner,65,0.0,0
260,18-07-2022,Pocket,dinner,35,0.0,0
261,19-07-2022,Pocket,dinner,35,0.0,0
262,20-07-2022,Pocket,lunch,15,0.0,0
263,20-07-2022,Pocket,dinner,35,0.0,0
264,21-07-2022,Pocket,dinner,35,0.0,0
265,22-07-2022,Pocket,dinner,35,0.0,0
266,23-07-2022,Pocket,Rajan- dinner,210,0.0,0
267,26-07-2022,Pocket,dinner,35,1000.0,0
268,27-07-2022,Pocket,dinner,35,0.0,0
269,28-07-2022,Pocket,dinner,35,0.0,0
270,29-07-2022,Pocket,dinner,35,0.0,0
271,30-07-2022,Pocket,dinner,35,0.0,0
272,30-07-2022,Pocket,to Rajan ,90,0.0,0
273,30-07-2022,Pocket,Lunch ,50,0.0,0
274,31-07-2022,Pocket,lunch ,30,0.0,0
275,31-07-2022,Pocket,dinner,50,0.0,0
276,01-08-2022,Pocket,journal,320,0.0,0
277,07-08-2022,Pocket,lunch,50,0.0,0
278,07-08-2022,Pocket,dinner,35,0.0,0
279,07-08-2022,Pocket,Rajan paid for dinner ,0,217.0,0
280,08-08-2022,Pocket,dinner,10,0.0,0
281,08-08-2022,Pocket,35,from 0390,0.0,0
282,09-08-2022,Pocket,lunch,50,0.0,0
283,10-08-2022,Pocket,dinner,50,0.0,0
284,11-08-2022,Pocket,dinner,70,0.0,0
285,11-08-2022,Pocket,kirti di Rakhi ,100,83.0,0
286,12-08-2022,Pocket,dinner,70,0.0,0
